pdf_stem,pdf_path,status,method,grid_w,grid_h,page_w,page_h,grid_png
35143022440000_LEGUS PERRYMAN 1_1380808,D:\ExportedFolderContents (1)\1911\10 - October\35143022440000_LEGUS PERRYMAN 1_1380808.pdf,detected,adaptive,301,304,1184,1888,C:\Users\akshay\Downloads\project_modular\outputs_1911\grids\35143022440000_LEGUS PERRYMAN 1_1380808_grid.png
OSAGE_No Data_2270883,D:\ExportedFolderContents (1)\1911\02 - February\OSAGE_No Data_2270883.pdf,detected,adaptive,317,313,1210,1936,C:\Users\akshay\Downloads\project_modular\outputs_1911\grids\OSAGE_No Data_2270883_grid.png
14305457_SAM KEYS 1_1401167,D:\ExportedFolderContents (1)\1911\01 - January\14305457_SAM KEYS 1_1401167.pdf,detected,adaptive,311,319,1292,1996,C:\Users\akshay\Downloads\project_modular\outputs_1911\grids\14305457_SAM KEYS 1_1401167_grid.png
14707594_D FODDER 1_1401380,D:\ExportedFolderContents (1)\1911\12 - December\14707594_D FODDER 1_1401380.pdf,detected,adaptive,316,313,1236,1856,C:\Users\akshay\Downloads\project_modular\outputs_1911\grids\14707594_D FODDER 1_1401380_grid.png
35105068300000_W ROSS 1_2455852,D:\ExportedFolderContents (1)\1911\04 - April\35105068300000_W ROSS 1_2455852.pdf,detected,adaptive,301,294,1244,1946,C:\Users\akshay\Downloads\project_modular\outputs_1911\grids\35105068300000_W ROSS 1_2455852_grid.png
03738228_MILLIE AUBREY 10_1030570,D:\ExportedFolderContents (1)\1911\04 - April\03738228_MILLIE AUBREY 10_1030570.pdf,detected,adaptive,318,315,1226,1970,C:\Users\akshay\Downloads\project_modular\outputs_1911\grids\03738228_MILLIE AUBREY 10_1030570_grid.png
X_W R DAWSON_2455826,D:\ExportedFolderContents (1)\1911\03 - March\X_W R DAWSON_2455826.pdf,detected_3x,adaptive@3x,445,436,1220,1924,C:\Users\akshay\Downloads\project_modular\outputs_1911\grids\X_W R DAWSON_2455826_grid.png
03738605_DAVID OVERTON 4_1030565,D:\ExportedFolderContents (1)\1911\03 - March\03738605_DAVID OVERTON 4_1030565.pdf,detected,adaptive,303,302,1246,1982,C:\Users\akshay\Downloads\project_modular\outputs_1911\grids\03738605_DAVID OVERTON 4_1030565_grid.png
14702075_ETTIE WHITETURKEY 5_512259,D:\ExportedFolderContents (1)\1911\12 - December\14702075_ETTIE WHITETURKEY 5_512259.pdf,detected,adaptive,317,318,1172,1992,C:\Users\akshay\Downloads\project_modular\outputs_1911\grids\14702075_ETTIE WHITETURKEY 5_512259_grid.png
14703266_CLEORA LUNDAY 1_512166,D:\ExportedFolderContents (1)\1911\02 - February\14703266_CLEORA LUNDAY 1_512166.pdf,detected,adaptive,346,341,1280,1912,C:\Users\akshay\Downloads\project_modular\outputs_1911\grids\14703266_CLEORA LUNDAY 1_512166_grid.png
14702073_ETTIE WHITETURKEY 3_512249,D:\ExportedFolderContents (1)\1911\11 - November\14702073_ETTIE WHITETURKEY 3_512249.pdf,detected,adaptive,252,254,1224,1584,C:\Users\akshay\Downloads\project_modular\outputs_1911\grids\14702073_ETTIE WHITETURKEY 3_512249_grid.png
