county,ns,ns_deterministic,ew,ew_deterministic,tr_combos,centroid_lat,centroid_lon
Adair County,N,True,E,True,18,35.8886,-94.6601
Alfalfa County,N,True,W,True,28,36.7288,-98.3283
Atoka County,S,False,E,True,28,34.3701,-96.0411
Beaver County,N,False,E,True,56,36.7513,-100.4762
Beckham County,N,True,W,True,29,35.2714,-99.6800
Blaine County,N,True,W,True,26,35.8774,-98.4314
Bryan County,S,True,E,True,35,33.9615,-96.2585
Caddo County,N,True,W,True,36,35.1739,-98.3797
Canadian County,N,True,W,True,27,35.5420,-97.9839
Carter County,S,True,W,False,25,34.2514,-97.2872
Cherokee County,N,True,E,True,23,35.9091,-95.0039
Choctaw County,S,True,E,True,29,34.0249,-95.5470
Cimarron County,N,False,E,True,59,36.7451,-102.5246
Cleveland County,N,True,W,False,18,35.2056,-97.3296
Coal County,N,False,E,True,15,34.5844,-96.2986
Comanche County,N,False,W,True,34,34.6633,-98.4707
Cotton County,S,True,W,True,25,34.2839,-98.3763
Craig County,N,True,E,True,23,36.7655,-95.2101
Creek County,N,True,E,True,29,35.9024,-96.3809
Custer County,N,True,W,True,29,35.6350,-98.9977
Delaware County,N,True,E,True,25,36.4100,-94.8015
Dewey County,N,True,W,True,30,35.9909,-99.0074
Ellis County,N,True,W,False,43,36.2129,-99.7511
Garfield County,N,True,W,True,30,36.3822,-97.7826
Garvin County,N,True,W,False,24,34.7056,-97.3118
Grady County,N,True,W,True,32,35.0192,-97.8889
Grant County,N,True,W,True,30,36.7972,-97.7892
Greer County,N,True,W,True,23,34.9408,-99.5611
Harmon County,N,True,W,True,22,34.7447,-99.8501
Harper County,N,False,W,False,37,36.7928,-99.6697
Haskell County,N,True,E,True,23,35.2263,-95.1175
Hughes County,N,True,E,True,26,35.0442,-96.2505
Jackson County,N,False,W,True,32,34.5815,-99.4220
Jefferson County,S,True,W,True,30,34.1144,-97.8389
Johnston County,S,True,E,True,21,34.3160,-96.6656
Kay County,N,True,E,False,31,36.8222,-97.1396
Kingfisher County,N,True,W,True,25,35.9485,-97.9418
Kiowa County,N,True,W,True,33,34.9198,-98.9825
Latimer County,N,True,E,True,26,34.8767,-95.2519
Le Flore County,N,True,E,True,53,34.8995,-94.7026
Lincoln County,N,True,E,True,30,35.7044,-96.8771
Logan County,N,True,W,False,22,35.9160,-97.4451
Love County,S,True,E,False,19,33.9538,-97.2460
Major County,N,True,W,True,33,36.3145,-98.5351
Marshall County,S,True,E,True,18,34.0218,-96.7720
Mayes County,N,True,E,True,19,36.3030,-95.2269
McClain County,N,True,W,False,19,35.0136,-97.4669
McCurtain County,S,True,E,True,62,34.1152,-94.7636
McIntosh County,N,True,E,True,24,35.3717,-95.6676
Murray County,S,False,E,False,17,34.4835,-97.0653
Muskogee County,N,False,E,False,31,35.6202,-95.3856
Noble County,N,True,E,False,22,36.3902,-97.2370
Nowata County,N,True,E,True,20,36.8013,-95.6184
Okfuskee County,N,True,E,True,19,35.4641,-96.3286
Oklahoma County,N,True,W,False,20,35.5503,-97.4087
Okmulgee County,N,True,E,True,23,35.6476,-95.9670
Osage County,N,True,E,True,80,36.6286,-96.3888
Ottawa County,N,True,E,True,17,36.8397,-94.8014
Pawnee County,N,True,E,True,21,36.3181,-96.6967
Payne County,N,True,E,False,23,36.0799,-96.9719
Pittsburg County,N,True,E,True,44,34.9239,-95.7515
Pontotoc County,N,True,E,True,22,34.7273,-96.6848
Pottawatomie County,N,True,E,True,27,35.2057,-96.9553
Pushmataha County,S,False,E,True,40,34.4180,-95.3748
Roger Mills County,N,True,W,True,42,35.6939,-99.6989
Rogers County,N,False,E,False,26,36.3682,-95.6091
Seminole County,N,True,E,True,28,35.1658,-96.6204
Sequoyah County,N,True,E,True,24,35.4982,-94.7491
Stephens County,S,False,W,True,30,34.4890,-97.8559
Texas County,N,False,E,True,68,36.7445,-101.4912
Tillman County,S,False,W,True,32,34.3729,-98.9276
Tulsa County,N,True,E,True,23,36.1177,-95.9418
Wagoner County,N,False,E,False,25,35.9543,-95.5044
Washington County,N,True,E,True,21,36.7124,-95.9053
Washita County,N,True,W,True,30,35.2859,-98.9936
Woods County,N,False,W,False,46,36.7640,-98.8686
Woodward County,N,False,W,False,39,36.4183,-99.2578
