pdf_stem,pdf_path,collection,year,month,model_tier,decade,failure_domain,failure_stage,failure_error_type,failure_detail,grid_status,grid_error_type,grid_confidence,location_status,location_error_type,location_section,location_township,location_range,county_status,county_error_type,county_name,dot_status,dot_error_type,dot_confidence,latlong_status,latlong_error_type,resolution_source,flags
OSAGE_No Data_2287966,s3://osu-well-records-225989338968/pdfs/ExportedFolderContents_1/1922/09 - September/OSAGE_No Data_2287966.pdf,1,1922,09 - September,early,1920s,county,county,exception,County extraction failed: exception,done,,99,done,,,27,8,failed,exception,,done,,99,skipped,,,
X_GILCHRIST 10_2288008,s3://osu-well-records-225989338968/pdfs/ExportedFolderContents_1/1922/09 - September/X_GILCHRIST 10_2288008.pdf,1,1922,09 - September,early,1920s,county,county,keyword_not_found,County extraction failed: keyword_not_found,done,,91,done,,22,7,,failed,keyword_not_found,,done,,99,skipped,,,
X_HIVICK_919968,s3://osu-well-records-225989338968/pdfs/ExportedFolderContents_1/1922/09 - September/X_HIVICK_919968.pdf,1,1922,09 - September,early,1920s,county,county,exception,County extraction failed: exception,done,not_detected,100,done,,,4,15,failed,exception,,skipped,,,skipped,,,
X_No Data_1413768,s3://osu-well-records-225989338968/pdfs/ExportedFolderContents_1/1922/09 - September/X_No Data_1413768.pdf,1,1922,09 - September,early,1920s,county,county,exception,County extraction failed: exception,done,,100,done,,19,,6W,failed,exception,,done,,99,skipped,,,
35111088630000_SARAH RENTIE 2_1384628,s3://osu-well-records-225989338968/pdfs/ExportedFolderContents_1/1922/10 - October/35111088630000_SARAH RENTIE 2_1384628.pdf,1,1922,10 - October,early,1920s,county,county,exception,County extraction failed: exception,done,,100,done,,2,,13,failed,exception,,done,,99,skipped,,,
35117015810000_SCOTT 1_2002972,s3://osu-well-records-225989338968/pdfs/ExportedFolderContents_1/1922/10 - October/35117015810000_SCOTT 1_2002972.pdf,1,1922,10 - October,early,1920s,county,county,keyword_not_found,County extraction failed: keyword_not_found,done,,99,done,,22,20,6E,failed,keyword_not_found,,done,,99,skipped,,,
X_PORTER 1_2002946,s3://osu-well-records-225989338968/pdfs/ExportedFolderContents_1/1922/10 - October/X_PORTER 1_2002946.pdf,1,1922,10 - October,early,1920s,county,county,keyword_not_found,County extraction failed: keyword_not_found,done,,97,done,,,12,14W,failed,keyword_not_found,,done,,99,skipped,,,
X_SMITH 1_2003166,s3://osu-well-records-225989338968/pdfs/ExportedFolderContents_1/1922/10 - October/X_SMITH 1_2003166.pdf,1,1922,10 - October,early,1920s,county,county,exception,County extraction failed: exception,done,,99,done,,,18,9W,failed,exception,,done,,98,skipped,,,
11102638_SCHACHT 3_1052328,s3://osu-well-records-225989338968/pdfs/ExportedFolderContents_1/1922/11 - November/11102638_SCHACHT 3_1052328.pdf,1,1922,11 - November,early,1920s,county,county,exception,County extraction failed: exception,done,,90,done,,22,14,24E,failed,exception,,done,,99,skipped,,,
11109907_Mcnac 2_1052469,s3://osu-well-records-225989338968/pdfs/ExportedFolderContents_1/1922/11 - November/11109907_Mcnac 2_1052469.pdf,1,1922,11 - November,early,1920s,county,county,exception,County extraction failed: exception,done,,100,done,,21,,14,failed,exception,,done,,99,skipped,,,
