pdf_stem,pdf_path,collection,year,month,model_tier,decade,failure_domain,failure_stage,failure_error_type,failure_detail,grid_status,grid_error_type,grid_confidence,location_status,location_error_type,location_section,location_township,location_range,county_status,county_error_type,county_name,dot_status,dot_error_type,dot_confidence,latlong_status,latlong_error_type,resolution_source,flags
00000000_No Data_1052058,s3://osu-well-records-225989338968/pdfs/ExportedFolderContents_1/1922/10 - October/00000000_No Data_1052058.pdf,1,1922,10 - October,early,1920s,latlong,latlong,exception,Embedded lat/long parse failed,failed,exception,,failed,exception,,,,failed,exception,,failed,exception,,failed,exception,,
OSAGE_SW 1_4 #1 SER 218_2288125,s3://osu-well-records-225989338968/pdfs/ExportedFolderContents_1/1922/10 - October/OSAGE_SW 1_4 #1 SER 218_2288125.pdf,1,1922,10 - October,early,1920s,latlong,latlong,exception,Embedded lat/long parse failed,failed,exception,,failed,exception,,,,failed,exception,,failed,exception,,failed,exception,,
OSAGE_NE 1_4 #2 SER 224_2288242,s3://osu-well-records-225989338968/pdfs/ExportedFolderContents_1/1922/11 - November/OSAGE_NE 1_4 #2 SER 224_2288242.pdf,1,1922,11 - November,early,1920s,latlong,latlong,exception,Embedded lat/long parse failed,failed,exception,,failed,exception,,,,failed,exception,,failed,exception,,failed,exception,,
OSAGE_LOT 59 #35_2288279,s3://osu-well-records-225989338968/pdfs/ExportedFolderContents_1/1922/12 - December/OSAGE_LOT 59 #35_2288279.pdf,1,1922,12 - December,early,1920s,latlong,latlong,exception,Embedded lat/long parse failed,failed,exception,,failed,exception,,,,failed,exception,,failed,exception,,failed,exception,,
OSAGE_LOT 59 #36_2288281,s3://osu-well-records-225989338968/pdfs/ExportedFolderContents_1/1922/12 - December/OSAGE_LOT 59 #36_2288281.pdf,1,1922,12 - December,early,1920s,latlong,latlong,exception,Embedded lat/long parse failed,failed,exception,,failed,exception,,,,failed,exception,,failed,exception,,failed,exception,,
OSAGE_NE 1_4 #1_2288411,s3://osu-well-records-225989338968/pdfs/ExportedFolderContents_1/1923/01 - January/OSAGE_NE 1_4 #1_2288411.pdf,1,1923,01 - January,early,1920s,latlong,latlong,exception,Embedded lat/long parse failed,failed,exception,,failed,exception,,,,failed,exception,,failed,exception,,failed,exception,,
OSAGE_NE 1_4 #3_2288405,s3://osu-well-records-225989338968/pdfs/ExportedFolderContents_1/1923/01 - January/OSAGE_NE 1_4 #3_2288405.pdf,1,1923,01 - January,early,1920s,latlong,latlong,exception,Embedded lat/long parse failed,failed,exception,,failed,exception,,,,failed,exception,,failed,exception,,failed,exception,,
14702480_TJ ELLIS #1_1415221,s3://osu-well-records-225989338968/pdfs/ExportedFolderContents_1/1923/06 - June/14702480_TJ ELLIS #1_1415221.pdf,1,1923,06 - June,early,1920s,latlong,latlong,exception,Embedded lat/long parse failed,failed,exception,,failed,exception,,,,failed,exception,,failed,exception,,failed,exception,,
10503163_SOAP C #1_1415266,s3://osu-well-records-225989338968/pdfs/ExportedFolderContents_1/1923/07 - July/10503163_SOAP C #1_1415266.pdf,1,1923,07 - July,early,1920s,latlong,latlong,exception,Embedded lat/long parse failed,failed,exception,,failed,exception,,,,failed,exception,,failed,exception,,failed,exception,,
X_TRACT #28 6_1415485,s3://osu-well-records-225989338968/pdfs/ExportedFolderContents_1/1923/09 - September/X_TRACT #28 6_1415485.pdf,1,1923,09 - September,early,1920s,latlong,latlong,exception,Embedded lat/long parse failed,failed,exception,,failed,exception,,,,failed,exception,,failed,exception,,failed,exception,,
X_TRACT #28 9_1415489,s3://osu-well-records-225989338968/pdfs/ExportedFolderContents_1/1923/09 - September/X_TRACT #28 9_1415489.pdf,1,1923,09 - September,early,1920s,latlong,latlong,exception,Embedded lat/long parse failed,failed,exception,,failed,exception,,,,failed,exception,,failed,exception,,failed,exception,,
10503204_R W MARSHALL #1_1618672,s3://osu-well-records-225989338968/pdfs/ExportedFolderContents_1/1923/11 - November/10503204_R W MARSHALL #1_1618672.pdf,1,1923,11 - November,early,1920s,latlong,latlong,exception,Embedded lat/long parse failed,failed,exception,,failed,exception,,,,failed,exception,,failed,exception,,failed,exception,,
00321342_USF&G FELLERS 1A-36_1585843,s3://osu-well-records-225989338968/pdfs/ExportedFolderContents_10/1990/03 - March/00321342_USF&G FELLERS 1A-36_1585843.pdf,10,1990,03 - March,mid,1990s,latlong,latlong,exception,Embedded lat/long parse failed,failed,exception,,failed,exception,,,,failed,exception,Alfalfa County,failed,exception,,failed,exception,,
00321497_USF&G CINDY 1-25_1587622,s3://osu-well-records-225989338968/pdfs/ExportedFolderContents_10/1990/11 - November/00321497_USF&G CINDY 1-25_1587622.pdf,10,1990,11 - November,mid,1990s,latlong,latlong,exception,Embedded lat/long parse failed,failed,exception,,failed,exception,,,,failed,exception,Alfalfa County,failed,exception,,failed,exception,,
00721486_NELSON 1_756198,s3://osu-well-records-225989338968/pdfs/ExportedFolderContents_10/1991/02 - February/00721486_NELSON 1_756198.pdf,10,1991,02 - February,mid,1990s,latlong,latlong,exception,Embedded lat/long parse failed,failed,exception,,failed,exception,,,,failed,exception,Beaver County,failed,exception,,failed,exception,,
00321516_MCCRADY 8-8_1588758,s3://osu-well-records-225989338968/pdfs/ExportedFolderContents_10/1991/06 - June/00321516_MCCRADY 8-8_1588758.pdf,10,1991,06 - June,mid,1990s,latlong,latlong,exception,Embedded lat/long parse failed,failed,exception,,failed,exception,,,,failed,exception,,failed,exception,,failed,exception,,
