pdf_stem,pdf_path,collection,year,month,model_tier,decade,failure_domain,failure_stage,failure_error_type,failure_detail,grid_status,grid_error_type,grid_confidence,location_status,location_error_type,location_section,location_township,location_range,county_status,county_error_type,county_name,dot_status,dot_error_type,dot_confidence,latlong_status,latlong_error_type,resolution_source,flags
OSAGE_NE 1_4 14_2287996,s3://osu-well-records-225989338968/pdfs/ExportedFolderContents_1/1922/09 - September/OSAGE_NE 1_4 14_2287996.pdf,1,1922,09 - September,early,1920s,location,location,not_found,"PLSS not found: missing section, township, range",done,,89,failed,not_found,,,,failed,exception,,failed,exception,,skipped,,,
OSAGE_No Data_2287930,s3://osu-well-records-225989338968/pdfs/ExportedFolderContents_1/1922/09 - September/OSAGE_No Data_2287930.pdf,1,1922,09 - September,early,1920s,location,location,not_found,"PLSS not found: missing section, township, range",done,,100,failed,not_found,,,,failed,keyword_not_found,,done,,99,skipped,,,
OSAGE_No Data_2287990,s3://osu-well-records-225989338968/pdfs/ExportedFolderContents_1/1922/09 - September/OSAGE_No Data_2287990.pdf,1,1922,09 - September,early,1920s,location,location,not_found,"PLSS not found: missing section, township, range",done,,98,failed,not_found,,,,failed,keyword_not_found,,done,,100,skipped,,,
OSAGE_OSAGE_2287935,s3://osu-well-records-225989338968/pdfs/ExportedFolderContents_1/1922/09 - September/OSAGE_OSAGE_2287935.pdf,1,1922,09 - September,early,1920s,location,location,not_found,"PLSS not found: missing section, township, range",done,,88,failed,not_found,,,,failed,keyword_not_found,,done,,99,skipped,,,
OSAGE_SE 1_4 16_2288000,s3://osu-well-records-225989338968/pdfs/ExportedFolderContents_1/1922/09 - September/OSAGE_SE 1_4 16_2288000.pdf,1,1922,09 - September,early,1920s,location,location,not_found,"PLSS not found: missing section, township, range",done,,100,failed,not_found,,,,failed,exception,,done,,99,skipped,,,
OSAGE_SE 1_4 1_2287985,s3://osu-well-records-225989338968/pdfs/ExportedFolderContents_1/1922/09 - September/OSAGE_SE 1_4 1_2287985.pdf,1,1922,09 - September,early,1920s,location,location,not_found,"PLSS not found: missing section, township, range",done,,99,failed,not_found,,,,failed,exception,,done,,99,skipped,,,
OSAGE_SW 1_4 5_2288004,s3://osu-well-records-225989338968/pdfs/ExportedFolderContents_1/1922/09 - September/OSAGE_SW 1_4 5_2288004.pdf,1,1922,09 - September,early,1920s,location,location,not_found,"PLSS not found: missing section, township, range",done,,99,failed,not_found,,,,failed,exception,,failed,exception,,skipped,,,
OSAGE_TRACT 20 10_2287987,s3://osu-well-records-225989338968/pdfs/ExportedFolderContents_1/1922/09 - September/OSAGE_TRACT 20 10_2287987.pdf,1,1922,09 - September,early,1920s,location,location,not_found,"PLSS not found: missing section, township, range",done,,98,failed,not_found,,,,failed,exception,,done,,97,skipped,,,
OSAGE_TRACT 20 11_2288019,s3://osu-well-records-225989338968/pdfs/ExportedFolderContents_1/1922/09 - September/OSAGE_TRACT 20 11_2288019.pdf,1,1922,09 - September,early,1920s,location,location,not_found,"PLSS not found: missing section, township, range",done,,98,failed,not_found,,,,failed,exception,,done,,99,skipped,,,
OSAGE_TRACT 20 12_2288002,s3://osu-well-records-225989338968/pdfs/ExportedFolderContents_1/1922/09 - September/OSAGE_TRACT 20 12_2288002.pdf,1,1922,09 - September,early,1920s,location,location,not_found,"PLSS not found: missing section, township, range",done,,99,failed,not_found,,,,failed,exception,,done,,99,skipped,,,
