pdf_stem,pdf_path,collection,year,month,model_tier,decade,failure_domain,failure_stage,failure_error_type,failure_detail,grid_status,grid_error_type,grid_confidence,location_status,location_error_type,location_section,location_township,location_range,county_status,county_error_type,county_name,dot_status,dot_error_type,dot_confidence,latlong_status,latlong_error_type,resolution_source,flags
01500395_MCKENNA HEIRS 1_782013,s3://osu-well-records-225989338968/pdfs/ExportedFolderContents_1/1922/10 - October/01500395_MCKENNA HEIRS 1_782013.pdf,1,1922,10 - October,early,1920s,unknown,unknown,,Unclassified failure,pending,,,pending,,,,,pending,,,pending,,,pending,,,
01535964_JOEL S ESTUS 1_782016,s3://osu-well-records-225989338968/pdfs/ExportedFolderContents_1/1922/10 - October/01535964_JOEL S ESTUS 1_782016.pdf,1,1922,10 - October,early,1920s,unknown,unknown,,Unclassified failure,pending,,,pending,,,,,pending,,,pending,,,pending,,,
01535999_COLEMAN 1_782033,s3://osu-well-records-225989338968/pdfs/ExportedFolderContents_1/1922/10 - October/01535999_COLEMAN 1_782033.pdf,1,1922,10 - October,early,1920s,unknown,unknown,,Unclassified failure,pending,,,pending,,,,,pending,,,pending,,,pending,,,
01900686_J B CHAMPION 1_516331,s3://osu-well-records-225989338968/pdfs/ExportedFolderContents_1/1922/10 - October/01900686_J B CHAMPION 1_516331.pdf,1,1922,10 - October,early,1920s,unknown,unknown,,Unclassified failure,pending,,,pending,,,,,pending,,,pending,,,pending,,,
01900691_S BAPTISTE 5_516320,s3://osu-well-records-225989338968/pdfs/ExportedFolderContents_1/1922/10 - October/01900691_S BAPTISTE 5_516320.pdf,1,1922,10 - October,early,1920s,unknown,unknown,,Unclassified failure,pending,,,pending,,,,,pending,,,pending,,,pending,,,
01908354_JACKSON 6_920117,s3://osu-well-records-225989338968/pdfs/ExportedFolderContents_1/1922/10 - October/01908354_JACKSON 6_920117.pdf,1,1922,10 - October,early,1920s,unknown,unknown,,Unclassified failure,pending,,,pending,,,,,pending,,,pending,,,pending,,,
01909213_HEFNER-MILLS 6_920042,s3://osu-well-records-225989338968/pdfs/ExportedFolderContents_1/1922/10 - October/01909213_HEFNER-MILLS 6_920042.pdf,1,1922,10 - October,early,1920s,unknown,unknown,,Unclassified failure,pending,,,pending,,,,,pending,,,pending,,,pending,,,
01909215_HEFNER-MILLS 1-DD_920094,s3://osu-well-records-225989338968/pdfs/ExportedFolderContents_1/1922/10 - October/01909215_HEFNER-MILLS 1-DD_920094.pdf,1,1922,10 - October,early,1920s,unknown,unknown,,Unclassified failure,pending,,,pending,,,,,pending,,,pending,,,pending,,,
01909541_RINGLING 4_920095,s3://osu-well-records-225989338968/pdfs/ExportedFolderContents_1/1922/10 - October/01909541_RINGLING 4_920095.pdf,1,1922,10 - October,early,1920s,unknown,unknown,,Unclassified failure,pending,,,pending,,,,,pending,,,pending,,,pending,,,
01909551_WESLEY LESTER 4_920097,s3://osu-well-records-225989338968/pdfs/ExportedFolderContents_1/1922/10 - October/01909551_WESLEY LESTER 4_920097.pdf,1,1922,10 - October,early,1920s,unknown,unknown,,Unclassified failure,pending,,,pending,,,,,pending,,,pending,,,pending,,,
01909662_JOHNSON 4_920033,s3://osu-well-records-225989338968/pdfs/ExportedFolderContents_1/1922/10 - October/01909662_JOHNSON 4_920033.pdf,1,1922,10 - October,early,1920s,unknown,unknown,,Unclassified failure,pending,,,pending,,,,,pending,,,pending,,,pending,,,
01910335_C R SMITH 4_920119,s3://osu-well-records-225989338968/pdfs/ExportedFolderContents_1/1922/10 - October/01910335_C R SMITH 4_920119.pdf,1,1922,10 - October,early,1920s,unknown,unknown,,Unclassified failure,pending,,,pending,,,,,pending,,,pending,,,pending,,,
01910335_C R SMITH 4_920121,s3://osu-well-records-225989338968/pdfs/ExportedFolderContents_1/1922/10 - October/01910335_C R SMITH 4_920121.pdf,1,1922,10 - October,early,1920s,unknown,unknown,,Unclassified failure,pending,,,pending,,,,,pending,,,pending,,,pending,,,
01911311_J H DILLARD 7_920079,s3://osu-well-records-225989338968/pdfs/ExportedFolderContents_1/1922/10 - October/01911311_J H DILLARD 7_920079.pdf,1,1922,10 - October,early,1920s,unknown,unknown,,Unclassified failure,pending,,,pending,,,,,pending,,,pending,,,pending,,,
01911370_J H DILLARD 31_920106,s3://osu-well-records-225989338968/pdfs/ExportedFolderContents_1/1922/10 - October/01911370_J H DILLARD 31_920106.pdf,1,1922,10 - October,early,1920s,unknown,unknown,,Unclassified failure,pending,,,pending,,,,,pending,,,pending,,,pending,,,
01911432_J H DILLARD 25_920047,s3://osu-well-records-225989338968/pdfs/ExportedFolderContents_1/1922/10 - October/01911432_J H DILLARD 25_920047.pdf,1,1922,10 - October,early,1920s,unknown,unknown,,Unclassified failure,pending,,,pending,,,,,pending,,,pending,,,pending,,,
01912000_HERNSTADT 5_920054,s3://osu-well-records-225989338968/pdfs/ExportedFolderContents_1/1922/10 - October/01912000_HERNSTADT 5_920054.pdf,1,1922,10 - October,early,1920s,unknown,unknown,,Unclassified failure,pending,,,pending,,,,,pending,,,pending,,,pending,,,
01912538_SAMMY BAPTISTE 9_516309,s3://osu-well-records-225989338968/pdfs/ExportedFolderContents_1/1922/10 - October/01912538_SAMMY BAPTISTE 9_516309.pdf,1,1922,10 - October,early,1920s,unknown,unknown,,Unclassified failure,pending,,,pending,,,,,pending,,,pending,,,pending,,,
