collection,year,month,local_count,s3_count,diff,status
1,1911,01 - January,43,43,0,OK
1,1911,02 - February,25,25,0,OK
1,1911,03 - March,50,50,0,OK
1,1911,04 - April,40,40,0,OK
1,1911,05 - May,34,34,0,OK
1,1911,06 - June,28,28,0,OK
1,1911,07 - July,32,32,0,OK
1,1911,08 - August,33,33,0,OK
1,1911,09 - September,30,30,0,OK
1,1911,10 - October,25,25,0,OK
1,1911,11 - November,23,23,0,OK
1,1911,12 - December,34,34,0,OK
1,1912,01 - January,58,58,0,OK
1,1912,02 - February,31,31,0,OK
1,1912,03 - March,31,31,0,OK
1,1912,04 - April,43,43,0,OK
1,1912,05 - May,60,60,0,OK
1,1912,06 - June,44,44,0,OK
1,1912,07 - July,55,55,0,OK
1,1912,08 - August,53,53,0,OK
1,1912,09 - September,49,49,0,OK
1,1912,10 - October,48,48,0,OK
1,1912,11 - November,51,51,0,OK
1,1912,12 - December,68,68,0,OK
1,1913,01 - January,114,114,0,OK
1,1913,02 - February,50,50,0,OK
1,1913,03 - March,73,73,0,OK
1,1913,04 - April,76,76,0,OK
1,1913,05 - May,83,83,0,OK
1,1913,06 - June,82,82,0,OK
1,1913,07 - July,69,69,0,OK
1,1913,08 - August,68,68,0,OK
1,1913,09 - September,78,78,0,OK
1,1913,10 - October,86,86,0,OK
1,1913,11 - November,92,92,0,OK
1,1913,12 - December,69,69,0,OK
1,1914,01 - January,129,129,0,OK
1,1914,02 - February,74,74,0,OK
1,1914,03 - March,144,144,0,OK
1,1914,04 - April,126,126,0,OK
1,1914,05 - May,101,101,0,OK
1,1914,06 - June,101,101,0,OK
1,1914,07 - July,84,84,0,OK
1,1914,08 - August,54,54,0,OK
1,1914,09 - September,56,56,0,OK
1,1914,10 - October,54,54,0,OK
1,1914,11 - November,40,40,0,OK
1,1914,12 - December,43,43,0,OK
1,1915,01 - January,93,93,0,OK
1,1915,02 - February,60,60,0,OK
1,1915,03 - March,70,70,0,OK
1,1915,04 - April,58,58,0,OK
1,1915,05 - May,68,68,0,OK
1,1915,06 - June,77,77,0,OK
1,1915,07 - July,80,80,0,OK
1,1915,08 - August,82,82,0,OK
1,1915,09 - September,158,158,0,OK
1,1915,10 - October,241,241,0,OK
1,1915,11 - November,296,296,0,OK
1,1915,12 - December,323,323,0,OK
1,1916,01 - January,299,299,0,OK
1,1916,02 - February,272,272,0,OK
1,1916,03 - March,448,448,0,OK
1,1916,04 - April,427,427,0,OK
1,1916,05 - May,438,438,0,OK
1,1916,06 - June,417,417,0,OK
1,1916,07 - July,352,352,0,OK
1,1916,08 - August,281,281,0,OK
1,1916,09 - September,242,242,0,OK
1,1916,10 - October,261,261,0,OK
1,1916,11 - November,234,234,0,OK
1,1916,12 - December,292,292,0,OK
1,1917,01 - January,393,393,0,OK
1,1917,02 - February,324,324,0,OK
1,1917,03 - March,461,461,0,OK
1,1917,04 - April,431,431,0,OK
1,1917,05 - May,496,496,0,OK
1,1917,06 - June,422,422,0,OK
1,1917,07 - July,399,399,0,OK
1,1917,08 - August,388,388,0,OK
1,1917,09 - September,373,373,0,OK
1,1917,10 - October,394,394,0,OK
1,1917,11 - November,359,359,0,OK
1,1917,12 - December,297,297,0,OK
1,1918,01 - January,247,247,0,OK
1,1918,02 - February,362,362,0,OK
1,1918,03 - March,455,455,0,OK
1,1918,04 - April,419,419,0,OK
1,1918,05 - May,500,500,0,OK
1,1918,06 - June,450,450,0,OK
1,1918,07 - July,419,419,0,OK
1,1918,08 - August,358,358,0,OK
1,1918,09 - September,351,351,0,OK
1,1918,10 - October,315,315,0,OK
1,1918,11 - November,306,306,0,OK
1,1918,12 - December,292,292,0,OK
1,1919,01 - January,329,329,0,OK
1,1919,02 - February,260,260,0,OK
1,1919,03 - March,415,415,0,OK
1,1919,04 - April,389,389,0,OK
1,1919,05 - May,463,463,0,OK
1,1919,06 - June,427,427,0,OK
1,1919,07 - July,425,425,0,OK
1,1919,08 - August,447,447,0,OK
1,1919,09 - September,450,450,0,OK
1,1919,10 - October,373,373,0,OK
1,1919,11 - November,384,384,0,OK
1,1919,12 - December,361,361,0,OK
1,1920,01 - January,420,420,0,OK
1,1920,02 - February,448,448,0,OK
1,1920,03 - March,550,550,0,OK
1,1920,04 - April,675,675,0,OK
1,1920,05 - May,650,650,0,OK
1,1920,06 - June,709,709,0,OK
1,1920,07 - July,663,663,0,OK
1,1920,08 - August,672,672,0,OK
1,1920,09 - September,666,666,0,OK
1,1920,10 - October,609,609,0,OK
1,1920,11 - November,664,664,0,OK
1,1920,12 - December,581,581,0,OK
1,1921,01 - January,563,563,0,OK
1,1921,02 - February,412,412,0,OK
1,1921,03 - March,372,372,0,OK
1,1921,04 - April,398,398,0,OK
1,1921,05 - May,434,434,0,OK
1,1921,06 - June,388,388,0,OK
1,1921,07 - July,350,350,0,OK
1,1921,08 - August,253,253,0,OK
1,1921,09 - September,250,250,0,OK
1,1921,10 - October,291,291,0,OK
1,1921,11 - November,280,280,0,OK
1,1921,12 - December,345,345,0,OK
1,1922,01 - January,402,402,0,OK
1,1922,02 - February,438,438,0,OK
1,1922,03 - March,466,466,0,OK
1,1922,04 - April,491,491,0,OK
1,1922,05 - May,566,566,0,OK
1,1922,06 - June,610,610,0,OK
1,1922,07 - July,605,605,0,OK
1,1922,08 - August,561,561,0,OK
1,1922,09 - September,459,459,0,OK
1,1922,10 - October,417,417,0,OK
1,1922,11 - November,408,408,0,OK
1,1922,12 - December,433,433,0,OK
1,1923,01 - January,463,463,0,OK
1,1923,02 - February,417,417,0,OK
1,1923,03 - March,504,504,0,OK
1,1923,04 - April,680,680,0,OK
1,1923,05 - May,699,699,0,OK
1,1923,06 - June,607,607,0,OK
1,1923,07 - July,516,516,0,OK
1,1923,08 - August,421,421,0,OK
1,1923,09 - September,258,258,0,OK
1,1923,10 - October,232,232,0,OK
1,1923,11 - November,239,239,0,OK
1,1923,12 - December,273,273,0,OK
1,1924,01 - January,269,269,0,OK
1,1924,02 - February,300,300,0,OK
1,1924,03 - March,434,434,0,OK
1,1924,04 - April,487,487,0,OK
1,1924,05 - May,494,494,0,OK
1,1924,06 - June,472,472,0,OK
1,1924,07 - July,447,447,0,OK
1,1924,08 - August,361,361,0,OK
1,1924,09 - September,335,335,0,OK
1,1924,10 - October,322,322,0,OK
1,1924,11 - November,382,382,0,OK
1,1924,12 - December,308,308,0,OK
1,1925,01 - January,346,346,0,OK
1,1925,02 - February,361,361,0,OK
1,1925,03 - March,460,460,0,OK
1,1925,04 - April,546,546,0,OK
1,1925,05 - May,487,487,0,OK
1,1925,06 - June,458,458,0,OK
1,1925,07 - July,495,495,0,OK
1,1925,08 - August,450,450,0,OK
1,1925,09 - September,417,417,0,OK
1,1925,10 - October,343,343,0,OK
1,1925,11 - November,387,387,0,OK
1,1925,12 - December,373,373,0,OK
2,1926,01 - January,408,408,0,OK
2,1926,02 - February,385,385,0,OK
2,1926,03 - March,462,462,0,OK
2,1926,04 - April,409,409,0,OK
2,1926,05 - May,487,487,0,OK
2,1926,06 - June,440,440,0,OK
2,1926,07 - July,527,527,0,OK
2,1926,08 - August,446,446,0,OK
2,1926,09 - September,412,412,0,OK
2,1926,10 - October,407,407,0,OK
2,1926,11 - November,427,427,0,OK
2,1926,12 - December,441,441,0,OK
2,1927,01 - January,408,408,0,OK
2,1927,02 - February,372,372,0,OK
2,1927,03 - March,443,443,0,OK
2,1927,04 - April,381,381,0,OK
2,1927,05 - May,420,420,0,OK
2,1927,06 - June,377,377,0,OK
2,1927,07 - July,378,378,0,OK
2,1927,08 - August,367,367,0,OK
2,1927,09 - September,341,341,0,OK
2,1927,10 - October,403,403,0,OK
2,1927,11 - November,323,323,0,OK
2,1927,12 - December,307,307,0,OK
2,1928,01 - January,287,287,0,OK
2,1928,02 - February,306,306,0,OK
2,1928,03 - March,296,296,0,OK
2,1928,04 - April,315,315,0,OK
2,1928,05 - May,342,342,0,OK
2,1928,06 - June,299,299,0,OK
2,1928,07 - July,345,345,0,OK
2,1928,08 - August,388,388,0,OK
2,1928,09 - September,357,357,0,OK
2,1928,10 - October,385,385,0,OK
2,1928,11 - November,329,329,0,OK
2,1928,12 - December,355,355,0,OK
2,1929,01 - January,332,332,0,OK
2,1929,02 - February,302,302,0,OK
2,1929,03 - March,346,346,0,OK
2,1929,04 - April,339,339,0,OK
2,1929,05 - May,332,332,0,OK
2,1929,06 - June,294,294,0,OK
2,1929,07 - July,329,329,0,OK
2,1929,08 - August,311,311,0,OK
2,1929,09 - September,376,376,0,OK
2,1929,10 - October,339,339,0,OK
2,1929,11 - November,340,340,0,OK
2,1929,12 - December,316,316,0,OK
2,1930,01 - January,249,249,0,OK
2,1930,02 - February,263,263,0,OK
2,1930,03 - March,369,369,0,OK
2,1930,04 - April,390,390,0,OK
2,1930,05 - May,375,375,0,OK
2,1930,06 - June,381,381,0,OK
2,1930,07 - July,345,345,0,OK
2,1930,08 - August,365,365,0,OK
2,1930,09 - September,299,299,0,OK
2,1930,10 - October,254,254,0,OK
2,1930,11 - November,200,200,0,OK
2,1930,12 - December,168,168,0,OK
2,1931,01 - January,158,158,0,OK
2,1931,02 - February,124,124,0,OK
2,1931,03 - March,89,89,0,OK
2,1931,04 - April,81,81,0,OK
2,1931,05 - May,95,95,0,OK
2,1931,06 - June,70,70,0,OK
2,1931,07 - July,52,52,0,OK
2,1931,08 - August,62,62,0,OK
2,1931,09 - September,46,46,0,OK
2,1931,10 - October,45,45,0,OK
2,1931,11 - November,36,36,0,OK
2,1931,12 - December,52,52,0,OK
2,1932,01 - January,70,70,0,OK
2,1932,02 - February,63,63,0,OK
2,1932,03 - March,57,57,0,OK
2,1932,04 - April,67,67,0,OK
2,1932,05 - May,82,82,0,OK
2,1932,06 - June,81,81,0,OK
2,1932,07 - July,88,88,0,OK
2,1932,08 - August,94,94,0,OK
2,1932,09 - September,93,93,0,OK
2,1932,10 - October,104,104,0,OK
2,1932,11 - November,86,86,0,OK
2,1932,12 - December,73,73,0,OK
2,1933,01 - January,89,89,0,OK
2,1933,02 - February,53,53,0,OK
2,1933,03 - March,96,96,0,OK
2,1933,04 - April,76,76,0,OK
2,1933,05 - May,73,73,0,OK
2,1933,06 - June,65,65,0,OK
2,1933,07 - July,72,72,0,OK
2,1933,08 - August,71,71,0,OK
2,1933,09 - September,103,103,0,OK
2,1933,10 - October,112,112,0,OK
2,1933,11 - November,122,122,0,OK
2,1933,12 - December,148,148,0,OK
2,1934,01 - January,126,126,0,OK
2,1934,02 - February,141,141,0,OK
2,1934,03 - March,135,135,0,OK
2,1934,04 - April,195,195,0,OK
2,1934,05 - May,187,187,0,OK
2,1934,06 - June,215,215,0,OK
2,1934,07 - July,172,172,0,OK
2,1934,08 - August,151,151,0,OK
2,1934,09 - September,134,134,0,OK
2,1934,10 - October,144,144,0,OK
2,1934,11 - November,143,143,0,OK
2,1934,12 - December,138,138,0,OK
2,1935,01 - January,158,158,0,OK
2,1935,02 - February,129,129,0,OK
